,season,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,f_PTS
Precious Achiuwa,2019-20,31,943,182,369,13,40,112,187,93,334,30,34,58,87,73,489,.493,.325,.599,30.4,15.8,10.8,1.0,589
Steven Adams,2012-13,32,749,100,175,0,0,31,70,90,203,20,21,65,35,52,231,.571,NaN,.443,23.4,7.2,6.3,0.6,511
Bam Adebayo,2016-17,38,1145,170,284,0,0,154,236,118,304,32,26,57,64,99,494,.599,NaN,.653,30.1,13.0,8.0,0.8,973
Jarrett Allen,2016-17,33,1061,179,316,0,7,84,149,100,278,27,19,51,84,68,442,.566,.000,.564,32.2,13.4,8.4,0.8,904
Carmelo Anthony,2002-03,35,1274,277,612,56,166,168,238,NaN,349,77,55,30,77,77,778,.453,.337,.706,36.4,22.2,10.0,2.2,876
Cole Anthony,2019-20,22,768,131,345,49,141,96,128,10,125,88,29,6,77,64,407,.380,.348,.750,34.9,18.5,5.7,4.0,"1,042"
Trevor Ariza,2003-04,25,789,107,251,18,76,57,113,NaN,162,52,42,11,NaN,NaN,289,.426,.237,.504,31.6,11.6,6.5,2.1,84
Deandre Ayton,2017-18,35,1172,276,451,12,35,140,191,118,405,57,20,66,69,81,704,.612,.343,.733,33.5,20.1,11.6,1.6,931
Marvin Bagley III,2017-18,33,1118,270,440,23,58,131,209,132,366,50,27,29,75,60,694,.614,.397,.627,33.9,21.0,11.1,1.5,521
Lonzo Ball,2016-17,36,1263,189,343,80,194,66,98,33,216,274,66,28,89,65,524,.551,.412,.673,35.1,14.6,6.0,7.6,455
Mo Bamba,2017-18,30,906,146,270,14,51,81,119,96,316,15,23,111,46,76,387,.541,.275,.681,30.2,12.9,10.5,0.5,674
RJ Barrett,2018-19,38,1341,319,702,73,237,149,224,59,288,164,34,16,123,70,860,.454,.308,.665,35.3,22.6,7.6,4.3,"1,301"
Bradley Beal,2011-12,37,1267,175,393,63,186,133,173,50,249,83,51,31,79,76,546,.445,.339,.769,34.2,14.8,6.7,2.2,928
Malik Beasley,2015-16,34,1014,185,393,55,142,104,128,44,180,51,32,6,59,75,529,.471,.387,.813,29.8,15.6,5.3,1.5,893
Eric Bledsoe,2009-10,37,1122,144,312,49,128,82,123,19,114,107,52,12,112,82,419,.462,.383,.667,30.3,11.3,3.1,2.9,534
Bol Bol,2018-19,9,268,74,132,13,25,28,37,19,86,9,7,24,18,15,189,.561,.520,.757,29.8,21.0,9.6,1.0,33
Devin Booker,2014-15,38,816,135,287,58,141,53,64,17,76,42,17,2,37,58,381,.470,.411,.828,21.5,10.0,2.0,1.1,"1,694"
